time,velocity
0,0.045
0.01,0.09
0.02,0.135
0.03,0.18
0.04,0.225
0.05,0.27
0.06,0.315
0.07,0.36
0.08,0.405
0.09,0.45
0.1,0.495
0.11,0.54
0.12,0.585
0.13,0.63
0.14,0.675
0.15,0.72
0.16,0.765
0.17,0.81
0.18,0.855
0.19,0.9
0.2,0.945
0.21,0.99
0.22,1.035
0.23,1.08
0.24,1.125
0.25,1.17
0.26,1.215
0.27,1.26
0.28,1.305
0.29,1.35
0.3,1.395
0.31,1.44
0.32,1.485
0.33,1.53
0.34,1.575
0.35,1.62
0.36,1.665
0.37,1.71
0.38,1.755
0.39,1.8
0.4,1.845
0.41,1.89
0.42,1.935
0.43,1.98
0.44,2.025
0.45,2.07
0.46,2.115
0.47,2.16
0.48,2.205
0.49,2.25
0.5,2.295
0.51,2.34
0.52,2.385
0.53,2.43
0.54,2.475
0.55,2.52
0.56,2.565
0.57,2.61
0.58,2.655
0.59,2.7
0.6,2.745
0.61,2.79
0.62,2.835
0.63,2.88
0.64,2.925
0.65,2.97
0.66,3.015
0.67,3.06
0.68,3.105
0.69,3.15
0.7,3.195
0.71,3.24
0.72,3.285
0.73,3.33
0.74,3.375
0.75,3.42
0.76,3.465
0.77,3.51
0.78,3.555
0.79,3.6
0.8,3.645
0.81,3.69
0.82,3.735
0.83,3.78
0.84,3.825
0.85,3.87
0.86,3.915
0.87,3.96
0.88,4.005
0.89,4.05
0.9,4.095
0.91,4.14
0.92,4.185
0.93,4.23
0.94,4.275
0.95,4.32
0.96,4.365
0.97,4.41
0.98,4.455
0.99,4.5
1,4.545
1.01,4.59
1.02,4.635
1.03,4.68
1.04,4.725
1.05,4.77
1.06,4.815
1.07,4.86
1.08,4.905
1.09,4.95
1.1,4.995
1.11,5.04
1.12,5.085
1.13,5.13
1.14,5.175
1.15,5.22
1.16,5.265
1.17,5.31
1.18,5.355
1.19,5.4
1.2,5.445
1.21,5.49
1.22,5.535
1.23,5.58
1.24,5.625
1.25,5.67
1.26,5.715
1.27,5.76
1.28,5.805
1.29,5.85
1.3,5.895
1.31,5.94
1.32,5.985
1.33,6.03
1.34,6.075
1.35,6.12
1.36,6.165
1.37,6.21
1.38,6.255
1.39,6.3
1.4,6.345
1.41,6.39
1.42,6.435
1.43,6.48
1.44,6.525
1.45,6.57
1.46,6.615
1.47,6.66
1.48,6.705
1.49,6.75
1.5,6.795
1.51,6.84
1.52,6.885
1.53,6.93
1.54,6.975
1.55,7.02
1.56,7.065
1.57,7.11
1.58,7.155
1.59,7.2
1.6,7.245
1.61,7.29
1.62,7.335
1.63,7.38
1.64,7.425
1.65,7.47
1.66,7.515
1.67,7.56
1.68,7.605
1.69,7.65
1.7,7.695
1.71,7.74
1.72,7.785
1.73,7.83
1.74,7.875
1.75,7.92
1.76,7.965
1.77,8.01
1.78,8.055
1.79,8.1
1.8,8.145
1.81,8.19
1.82,8.235
1.83,8.28
1.84,8.325
1.85,8.37
1.86,8.415
1.87,8.46
1.88,8.505
1.89,8.55
1.9,8.595
1.91,8.64
1.92,8.685
1.93,8.73
1.94,8.775
1.95,8.82
1.96,8.865
1.97,8.91
1.98,8.955
1.99,9
2,9.045
2.01,9.09
2.02,9.135
2.03,9.18
2.04,9.225
2.05,9.27
2.06,9.315
2.07,9.36
2.08,9.405
2.09,9.45
2.1,9.495
2.11,9.54
2.12,9.585
2.13,9.63
2.14,9.675
2.15,9.72
2.16,9.765
2.17,9.81
2.18,9.855
2.19,9.9
2.2,9.945
2.21,9.99
2.22,10.035
2.23,10.08
2.24,10.125
2.25,10.17
2.26,10.215
2.27,10.26
2.28,10.305
2.29,10.35
2.3,10.395
2.31,10.44
2.32,10.485
2.33,10.53
2.34,10.575
2.35,10.62
2.36,10.665
2.37,10.71
2.38,10.755
2.39,10.8
2.4,10.845
2.41,10.89
2.42,10.935
2.43,10.98
2.44,11.025
2.45,11.07
2.46,11.115
2.47,11.16
2.48,11.205
2.49,11.25
2.5,11.295
2.51,11.34
2.52,11.385
2.53,11.43
2.54,11.475
2.55,11.52
2.56,11.565
2.57,11.61
2.58,11.655
2.59,11.7
2.6,11.745
2.61,11.79
2.62,11.835
2.63,11.88
2.64,11.925
2.65,11.97
2.66,12.015
2.67,12.06
2.68,12.105
2.69,12.15
2.7,12.195
2.71,12.24
2.72,12.285
2.73,12.33
2.74,12.375
2.75,12.42
2.76,12.465
2.77,12.51
2.78,12.555
2.79,12.6
2.8,12.645
2.81,12.69
2.82,12.735
2.83,12.78
2.84,12.825
2.85,12.87
2.86,12.915
2.87,12.96
2.88,13.005
2.89,13.05
2.9,13.095
2.91,13.14
2.92,13.185
2.93,13.23
2.94,13.275
2.95,13.32
2.96,13.365
2.97,13.41
2.98,13.455
2.99,13.5
3,13.545
3.01,13.59
3.02,13.635
3.03,13.68
3.04,13.725
3.05,13.77
3.06,13.815
3.07,13.86
3.08,13.905
3.09,13.95
3.1,13.995
3.11,14.04
3.12,14.085
3.13,14.13
3.14,14.175
3.15,14.22
3.16,14.265
3.17,14.31
3.18,14.355
3.19,14.4
3.2,14.445
3.21,14.49
3.22,14.535
3.23,14.58
3.24,14.625
3.25,14.67
3.26,14.715
3.27,14.76
3.28,14.805
3.29,14.85
3.3,14.895
3.31,14.94
3.32,14.985
3.33,15.03
3.34,15.075
3.35,15.12
3.36,15.165
3.37,15.21
3.38,15.255
3.39,15.3
3.4,15.345
3.41,15.39
3.42,15.435
3.43,15.48
3.44,15.525
3.45,15.57
3.46,15.615
3.47,15.66
3.48,15.705
3.49,15.75
3.5,15.795
3.51,15.84
3.52,15.885
3.53,15.93
3.54,15.975
3.55,16.02
3.56,16.065
3.57,16.11
3.58,16.155
3.59,16.2
3.6,16.245
3.61,16.29
3.62,16.335
3.63,16.38
3.64,16.425
3.65,16.47
3.66,16.515
3.67,16.56
3.68,16.605
3.69,16.65
3.7,16.695
3.71,16.74
3.72,16.785
3.73,16.83
3.74,16.875
3.75,16.92
3.76,16.965
3.77,17.01
3.78,17.055
3.79,17.1
3.8,17.145
3.81,17.19
3.82,17.235
3.83,17.28
3.84,17.325
3.85,17.37
3.86,17.415
3.87,17.46
3.88,17.505
3.89,17.55
3.9,17.595
3.91,17.64
3.92,17.685
3.93,17.73
3.94,17.775
3.95,17.82
3.96,17.865
3.97,17.91
3.98,17.955
3.99,18
4,18.045
4.01,18.09
4.02,18.135
4.03,18.18
4.04,18.225
4.05,18.27
4.06,18.315
4.07,18.36
4.08,18.405
4.09,18.45
4.1,18.495
4.11,18.54
4.12,18.585
4.13,18.63
4.14,18.675
4.15,18.72
4.16,18.765
4.17,18.81
4.18,18.855
4.19,18.9
4.2,18.945
4.21,18.99
4.22,19.035
4.23,19.08
4.24,19.125
4.25,19.17
4.26,19.215
4.27,19.26
4.28,19.305
4.29,19.35
4.3,19.395
4.31,19.44
4.32,19.485
4.33,19.53
4.34,19.575
4.35,19.62
4.36,19.665
4.37,19.71
4.38,19.755
4.39,19.8
4.4,19.845
4.41,19.89
4.42,19.935
4.43,19.98
4.44,20.025
4.45,20.07
4.46,20.115
4.47,20.16
4.48,20.205
4.49,20.25
4.5,20.295
4.51,20.34
4.52,20.385
4.53,20.43
4.54,20.475
4.55,20.52
4.56,20.565
4.57,20.61
4.58,20.655
4.59,20.7
4.6,20.745
4.61,20.79
4.62,20.835
4.63,20.88
4.64,20.925
4.65,20.97
4.66,21.015
4.67,21.06
4.68,21.105
4.69,21.15
4.7,21.195
4.71,21.24
4.72,21.285
4.73,21.33
4.74,21.375
4.75,21.42
4.76,21.465
4.77,21.51
4.78,21.555
4.79,21.6
4.8,21.645
4.81,21.69
4.82,21.735
4.83,21.78
4.84,21.825
4.85,21.87
4.86,21.915
4.87,21.96
4.88,22.005
4.89,22.05
4.9,22.095
4.91,22.14
4.92,22.185
4.93,22.23
4.94,22.275
4.95,22.32
4.96,22.365
4.97,22.41
4.98,22.455
4.99,22.5
5,22.545
5.01,22.59
5.02,22.635
5.03,22.68
5.04,22.725
5.05,22.77
5.06,22.815
5.07,22.86
5.08,22.905
5.09,22.95
5.1,22.995
5.11,23.04
5.12,23.085
5.13,23.13
5.14,23.175
5.15,23.22
5.16,23.265
5.17,23.31
5.18,23.355
5.19,23.4
5.2,23.445
5.21,23.49
5.22,23.535
5.23,23.58
5.24,23.625
5.25,23.67
5.26,23.715
5.27,23.76
5.28,23.805
5.29,23.85
5.3,23.895
5.31,23.94
5.32,23.985
5.33,24.03
5.34,24.075
5.35,24.12
5.36,24.165
5.37,24.21
5.38,24.255
5.39,24.3
5.4,24.345
5.41,24.39
5.42,24.435
5.43,24.48
5.44,24.525
5.45,24.57
5.46,24.615
5.47,24.66
5.48,24.705
5.49,24.75
5.5,24.795
5.51,24.84
5.52,24.885
5.53,24.93
5.54,24.975
5.55,25.02
5.56,25.065
5.57,25.11
5.58,25.155
5.59,25.2
5.6,25.245
5.61,25.29
5.62,25.335
5.63,25.38
5.64,25.425
5.65,25.47
5.66,25.515
5.67,25.56
5.68,25.605
5.69,25.65
5.7,25.695
5.71,25.74
5.72,25.785
5.73,25.83
5.74,25.875
5.75,25.92
5.76,25.965
5.77,26.01
5.78,26.0539
5.79,26.0966
5.8,26.1382
5.81,26.1787
5.82,26.2181
5.83,26.2565
5.84,26.2938
5.85,26.3302
5.86,26.3656
5.87,26.4
5.88,26.4335
5.89,26.4661
5.9,26.4979
5.91,26.5288
5.92,26.5588
5.93,26.5881
5.94,26.6166
5.95,26.6443
5.96,26.6713
5.97,26.6976
5.98,26.7232
5.99,26.7481
6,26.7723
6.01,26.7959
6.02,26.8188
6.03,26.8412
6.04,26.8629
6.05,26.8841
6.06,26.9047
6.07,26.9247
6.08,26.9442
6.09,26.9632
6.1,26.9817
6.11,26.9997
6.12,27.0172
6.13,27.0343
6.14,27.0509
6.15,27.067
6.16,27.0828
6.17,27.0981
6.18,27.113
6.19,27.1275
6.2,27.1416
6.21,27.1553
6.22,27.1687
6.23,27.1817
6.24,27.1943
6.25,27.2067
6.26,27.2187
6.27,27.2303
6.28,27.2417
6.29,27.2528
6.3,27.2635
6.31,27.274
6.32,27.2842
6.33,27.2942
6.34,27.3038
6.35,27.3132
6.36,27.3224
6.37,27.3313
6.38,27.34
6.39,27.3484
6.4,27.3566
6.41,27.3646
6.42,27.3724
6.43,27.38
6.44,27.3874
6.45,27.3946
6.46,27.4015
6.47,27.4083
6.48,27.415
6.49,27.4214
6.5,27.4277
6.51,27.4338
6.52,27.4397
6.53,27.4455
6.54,27.4511
6.55,27.4566
6.56,27.462
6.57,27.4671
6.58,27.4722
6.59,27.4771
6.6,27.4819
6.61,27.4866
6.62,27.4911
6.63,27.4955
6.64,27.4998
6.65,27.504
6.66,27.5081
6.67,27.512
6.68,27.5159
6.69,27.5196
6.7,27.5233
6.71,27.5268
6.72,27.5303
6.73,27.5337
6.74,27.5369
6.75,27.5401
6.76,27.5432
6.77,27.5463
6.78,27.5492
6.79,27.5521
6.8,27.5549
6.81,27.5576
6.82,27.5602
6.83,27.5628
6.84,27.5653
6.85,27.5677
6.86,27.5701
6.87,27.5724
6.88,27.5746
6.89,27.5768
6.9,27.579
6.91,27.581
6.92,27.583
6.93,27.585
6.94,27.5869
6.95,27.5888
6.96,27.5906
6.97,27.5923
6.98,27.5941
6.99,27.5957
7,27.5973
7.01,27.5989
7.02,27.6005
7.03,27.602
7.04,27.6034
7.05,27.6048
7.06,27.6062
7.07,27.6076
7.08,27.6089
7.09,27.6101
7.1,27.6114
7.11,27.6126
7.12,27.6138
7.13,27.6149
7.14,27.616
7.15,27.6171
7.16,27.6182
7.17,27.6192
7.18,27.6202
7.19,27.6211
7.2,27.6221
7.21,27.623
7.22,27.6239
7.23,27.6248
7.24,27.6256
7.25,27.6265
7.26,27.6273
7.27,27.628
7.28,27.6288
7.29,27.6295
7.3,27.6303
7.31,27.631
7.32,27.6317
7.33,27.6323
7.34,27.633
7.35,27.6336
7.36,27.6342
7.37,27.6348
7.38,27.6354
7.39,27.636
7.4,27.6365
7.41,27.637
7.42,27.6376
7.43,27.6381
7.44,27.6386
7.45,27.639
7.46,27.6395
7.47,27.64
7.48,27.6404
7.49,27.6408
7.5,27.6413
7.51,27.6417
7.52,27.6421
7.53,27.6425
7.54,27.6428
7.55,27.6432
7.56,27.6436
7.57,27.6439
7.58,27.6443
7.59,27.6446
7.6,27.6449
7.61,27.6452
